Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

U1000      PQFP208       9280.67mil   3326.968mil       9885mil       2825mil       9885mil       2825mil  T        180.00 AT91RM9200-QI-002
R1220      0603W            8125mil     5207.5mil       8125mil       5240mil       8125mil       5240mil  T        270.00 6.8k      
R1221      0603W            8680mil     5212.5mil       8680mil       5245mil       8680mil       5245mil  T        270.00 43k       
R1222      0603W            8615mil     5212.5mil       8615mil       5245mil       8615mil       5245mil  T        270.00 43k       
R1223      0603W          7982.5mil       5250mil       8015mil       5250mil       8015mil       5250mil  T        180.00 43k       
R1224      0603W            8065mil     5157.5mil       8065mil       5190mil       8065mil       5190mil  T        270.00 43k       
C234       1812T           469.5mil       3510mil        377mil       3510mil        377mil       3510mil  T        360.00 1nF/2kV   
C231       1812T            6820mil     5742.5mil       6820mil       5650mil       6820mil       5650mil  T         90.00 1nF/2kV   
R310       0603W            7755mil     2597.5mil       7755mil       2630mil       7755mil       2630mil  T        270.00 10k       
P1         DIN96-PUB        6760mil        255mil       5010mil        105mil       5010mil        105mil  T        360.00 DIN96 (Even Rows Only)
M105       FIDUCIAL-MARK       8545mil        515mil       8545mil        515mil       8545mil        515mil  T          0.00 Fiducial  
C244       1206T          1397.5mil       3485mil       1465mil       3485mil       1465mil       3485mil  T        180.00 10uF      
C243       1812T          1072.5mil       1695mil       1165mil       1695mil       1165mil       1695mil  T        180.00 2.2uF/100V
U240       TON15            1065mil       2865mil       1465mil       3265mil       1165mil       2465mil  T        180.00 TON15-4810
C257       6032              840mil       3675mil        960mil       3675mil        960mil       3675mil  T        360.00 100uF, ESR=0.045
L251       ELL6SH           1225mil       3675mil       1225mil       3675mil   1339.173mil       3675mil  T        180.00 ELL-6UH100M
C270       1812T          1072.5mil        645mil        980mil        645mil        980mil        645mil  T        360.00 2.2uF/100V
C271       1812T          1072.5mil       1530mil        980mil       1530mil        980mil       1530mil  T        360.00 2.2uF/100V
C273       1812T            1495mil     1367.5mil       1495mil       1460mil       1495mil       1460mil  T        270.00 4.7nF/1.5kV
C272       1812T             645mil     1367.5mil        645mil       1275mil        645mil       1275mil  T         90.00 4.7nF/1.5kV
L270       RN112            1070mil       1090mil       1070mil       1090mil     873.15mil    794.724mil  T         90.00 RN112-0.8/02
C202       0603W          7832.5mil       4340mil       7865mil       4340mil       7865mil       4340mil  T        180.00 0.1uF     
C201       0603W          7662.5mil       4295mil       7630mil       4295mil       7630mil       4295mil  T        360.00 0.1uF     
U204       SOT23        7651.693mil   4192.401mil       7695mil       4155mil       7695mil       4155mil  T         90.00 STM1818TWX7F
JP200      HDR1X2           7950mil       4480mil       7950mil       4430mil       7950mil       4430mil  T         90.00 HDR1X2    
C203       0603W          7837.5mil       4110mil       7870mil       4110mil       7870mil       4110mil  T        180.00 0.1uF     
R253       0603W            7630mil     4057.5mil       7630mil       4090mil       7630mil       4090mil  T        270.00 1M        
R254       0603W            7695mil     4057.5mil       7695mil       4090mil       7695mil       4090mil  T        270.00 1k        
R255       0603W            7950mil     4307.5mil       7950mil       4275mil       7950mil       4275mil  T         90.00 470R      
C204       0805T            7875mil       3870mil       7830mil       3870mil       7830mil       3870mil  T        360.00 1uF       
R256       0603W            8015mil     4307.5mil       8015mil       4340mil       8015mil       4340mil  T        270.00 43k       
D204       SOD110           7695mil   3907.401mil       7695mil       3870mil       7695mil       3870mil  T         90.00 BAS216    
U201       SOT23-5      7842.401mil   3996.181mil       7805mil       3945mil       7805mil       3945mil  T         90.00 SN74LVC1G17DBV
U200       SOT23-5      7837.401mil   4226.181mil       7800mil       4175mil       7800mil       4175mil  T         90.00 SN74LVC1G07DBV
S200       SKHHLQ           7340mil   6635.905mil       7340mil       6630mil   7428.583mil   6685.118mil  T        180.00 SKHHLQ    
VR200      0603W          7597.5mil       4395mil       7630mil       4395mil       7630mil       4395mil  T        180.00 VC060303A100
C245       1210T          1062.5mil       2230mil       1130mil       2230mil       1130mil       2230mil  T        180.00 1uF       
D901       LED-0805         6510mil       6685mil       6510mil       6735mil       6510mil       6735mil  T        270.00 EL17-21UGC
D902       LED-0805         6410mil       6685mil       6410mil       6735mil       6410mil       6735mil  T        270.00 EL17-21UYC
D903       LED-0805         6310mil       6685mil       6310mil       6735mil       6310mil       6735mil  T        270.00 EL17-21USOC
R901       0603W            6545mil     2217.5mil       6545mil       2250mil       6545mil       2250mil  T        270.00 150R      
R902       0603W            6485mil     2217.5mil       6485mil       2250mil       6485mil       2250mil  T        270.00 150R      
R903       0603W            6425mil     2217.5mil       6425mil       2250mil       6425mil       2250mil  T        270.00 150R      
C500       0603W          6332.5mil       2130mil       6300mil       2130mil       6300mil       2130mil  T        360.00 0.1uF     
C501       0603W            6645mil     2192.5mil       6645mil       2160mil       6645mil       2160mil  T         90.00 0.1uF     
C502       0603W            7195mil     1972.5mil       7195mil       1940mil       7195mil       1940mil  T         90.00 0.1uF     
C503       0603W          7262.5mil       1575mil       7230mil       1575mil       7230mil       1575mil  T        360.00 0.1uF     
C504       0603W          7097.5mil       1090mil       7065mil       1090mil       7065mil       1090mil  T        360.00 0.1uF     
C505       0603W            6610mil      962.5mil       6610mil        995mil       6610mil        995mil  T        270.00 0.1uF     
C506       0603W          6102.5mil       1270mil       6135mil       1270mil       6135mil       1270mil  T        180.00 0.1uF     
C507       0603W          6087.5mil       1635mil       6120mil       1635mil       6120mil       1635mil  T        180.00 0.1uF     
C508       0603W          6122.5mil       1945mil       6155mil       1945mil       6155mil       1945mil  T        180.00 0.1uF     
C509       0603W            6705mil     2192.5mil       6705mil       2160mil       6705mil       2160mil  T         90.00 0.1uF     
C510       0603W          7262.5mil       1735mil       7230mil       1735mil       7230mil       1735mil  T        360.00 0.1uF     
C511       0603W          7262.5mil       1635mil       7230mil       1635mil       7230mil       1635mil  T        360.00 0.1uF     
C512       0603W          7287.5mil       1435mil       7255mil       1435mil       7255mil       1435mil  T        360.00 0.1uF     
C513       0603W            6670mil      962.5mil       6670mil        995mil       6670mil        995mil  T        270.00 0.1uF     
C514       0603W          6087.5mil       1495mil       6120mil       1495mil       6120mil       1495mil  T        180.00 0.1uF     
C515       0603W          6087.5mil       1710mil       6120mil       1710mil       6120mil       1710mil  T        180.00 0.1uF     
C516       0603W          6087.5mil       1795mil       6120mil       1795mil       6120mil       1795mil  T        180.00 0.1uF     
R500       0603W          7277.5mil       1280mil       7310mil       1280mil       7310mil       1280mil  T        180.00 n/i       
R501       0603W            7020mil      927.5mil       7020mil        895mil       7020mil        895mil  T         90.00 n/i       
R502       0603W            7055mil      802.5mil       7055mil        770mil       7055mil        770mil  T         90.00 n/i       
R503       0603W          7247.5mil       1220mil       7280mil       1220mil       7280mil       1220mil  T        180.00 n/i       
R504       0603W            6915mil      802.5mil       6915mil        770mil       6915mil        770mil  T         90.00 47R       
R505       0603W            6950mil      927.5mil       6950mil        895mil       6950mil        895mil  T         90.00 47R       
R506       0603W            6985mil      802.5mil       6985mil        770mil       6985mil        770mil  T         90.00 47R       
